likes,message,numWord
15.0,expert agre boston dynam Purchas gool big push robot,15
78.0,cut edge technology help father hear daughter voice first time,13
11.0,teacher allegedly tell black student take santa hat santa suppos white,17
3.0,thought beef product inc response critic lean fine texture beef,17
2.0,cargo bike commonly seen move mattress large cargo europe decad become SUV bicycle us,22
2.0,new defense office confirm abc news ISAM member kill afghanistan helicopt crash american enemy active report area time crash,33
5.0,pure execute uncle kim long un aunt miss office north korean photo country lit,24
5.0,video foot flame heat christmas light show,8
36.0,lottery office tell abc news mega million jackpot jump record one win mega million jackpot tuesday friday jackpot roll odd win,45
1.0,edward snowdon open letter brazil seek asylum offer service say NSA indiscrimin SPI collapse,20
9.0,south carolina policy dept Inunf complaint picture dog dang balcony leash,17
2.0,get ready video ad begin air Facebook newsie,11
268.0,honor wife die cancer ben nunnery reenact wed picture daughter move home photo,25
7.0,new sheriff colorado school gunman scrawl latin phrase appar attack plan arm friday shoot,20
0.0,new hampshire primary tomorrow see much really know candid quick quiz,19
2.0,romney note russia friendly charact world stage preside look greater flexible answer american people relate russia trouble alarm agre,47
206.0,blind man guid dog ok tumble onto subway track hit slow move train new york city photo associe press,25
75.0,tomorrow good morn america hail people pope robin josh live vatican wit touch person st peter square start et abc news,39
26.0,new dead include gunman other injury shoot nevada medic center motive yet known,18
27.0,harvard student arrest allegedly admit fbi email bomb threat univers monday reason,23
97.0,surgeon attach man hand ankle put back arm,16
63.0,number mega million jackpot mega ball win,23
63.0,least two ticket california georgia match win number million mega million jackpot state lottery office said,24
40.0,two third american new abc news washington post poll support increase minimum wage,15
55.0,good morn america live vatican wednesday live blog gmaatthevatican,14
78.0,good morn america anchor robin robert josh Elliott met pope Franci use weekly audience st peter square focus attent poor million cathop worldwide prepare christmas,37
8.0,turn back anim would feel someone turn back hope paw founder hagar said even horrible Condit thing get better,38
23.0,christmas differ boy aller almost every food,13
54.0,tourist distract Facebook rescue water walk pier,14
10.0,angelina Joli doubt mastectomy nose forehead make list big health story,20
47.0,plan get picture kid santa goe horrible wrong ti season right via good morn america,25
81.0,prosecutor push tougher sentence teen spare jail time psychiatrist call product privilege deadly dui case,24
8.0,inspector us spent afghanistan incliner never use,11
217.0,boston bomb survivor propos nurs help recon,10
42.0,georgia winner mega million jackpot ticket come forward lottery office hold news confer announce winner p et,27
89.0,update georgia lottery office announce mega million jackpot ticket winner ira Corri stone mountain georgia elect cash option jackpot win receive around tax,33
126.0,nation geography best travel photo year photo,10
2.0,revel martin dog disciplinary problem school latest salvo war leak meant bolster side amid rise tension feb shoot revel reles,38
464.0,update blind man fear would lose guid dog stood side fell onto new york city subway track tuesday get keep thank kind other,38
149.0,mystery couple got engage ice rink rockefel center christmas tree stranger say took photo want,31
16.0,tonight abc news barbara walter bring fascia people preview,18
31.0,crane OPer trap fire rescue helicopt,8
58.0,coast guard rescue man kick mountain goat photo USCG,13
115.0,new year day ten million watch two profess love giant wed cake shape float,22
57.0,phil Robertson star hit e reality Seri duck dynasty put hiatus network made inflammatory remark homosex,26
58.0,Hillari clinton name barbara walter fascia person although specula rumor swirl month whether clinton make azoth run white house said decide yet,39
23.0,consume complain chobani produce greek yogurt milk cow fed go anim feed,18
20.0,time advent birth christ research univers north carolina chapel hill report virgin birth without holi ghost sight,32
1.0,robert point lawyer challenge law key aspect govern argument health care differ market everyone events find sometime live need health insure kennedy wonder young person uninsur might affect market,57
22.0,target say inform approxim million custom credit debit card swipe store may compromis data breach height holiday shop season,33
7.0,video santa reindeer fly christmas alway turn parlour get house house,20
16.0,duck dynasty star comment homosex trigger backlash suspens debat,12
19.0,firefight battle wildfire california big sur,9
36.0,doctor share interest educ story sex acid see often twice week emerge room,22
57.0,Judg rule man shot kill into woman bang door face murder trial,23
8.0,develop un peacekeep mission base breach south sudan jonglem state un determine extent attack fear casualty death us embassy country ask known american citizen south sudan alert emerge evacue flight plan friday juba airport,51
38.0,meet Darci hedgehograph share hedgehog world Instagram photo,13
3.0,biggest moment year join abc news people com relit unforget story tonight,21
85.0,republican politician come defense duck dynasty star right make anti gay comment,15
3.0,disrupt jetblu pilot act errant allegedly lock cockpit co pilot caus airplane travel new york la vega divert tea,31
7.0,develop london fire spokesperson injury Ornas plaster ceil woodwork collapse onto apollo theater audience detail photo,20
8.0,update london sambul injury plaster ceil woodwork collapse onto crowd apollo theater walk wound serious injury detail,29
20.0,dozen injury tour use overturn spear crash interest near lo angel san diego,19
24.0,too bill gate bill send secret santa gift geddit user,13
45.0,colorado school shoot victim clair dave favorite band one direct record person video video,18
77.0,family say without patriarch phil Robertson show future unclear,12
7.0,video Darien long taser mom earn nickname kick ass mall cop,15
15.0,juror british phone hack trial heard voicemail left prince william proved deeper insight royal private life,21
8.0,marian carey slam collect dictate cash,7
3.0,healthcare gov still serious secure vulned accord document testimony obtain excls abc news,16
14.0,Georg Zimmerman retrieve gun taken defunct domes violence case,12
39.0,video tampa policy helicopt land next crash burn plane offic pull injury pilot safety despite flame,19
4.0,air special report p et pre Obama year end news confer abc network online,22
5.0,year end news confer pre Obama vow year action screw health care,18
13.0,ask biggest mistake pre Obama tell abc news Jon Karl health care rollout screw,22
40.0,constitute law professor duck dynasty star comment st amend despite uproar,14
72.0,fever Judg strike utah sex marriage ban say unconstitut abc utah,18
491.0,said ye young man syndrome stun receive college accept letter,14
60.0,Judg order hospita keep life support girl declare brain dead routine tonsillectome,16
82.0,video high school student build robot hand girl without finger,11
22.0,doctor univers maryland medic center perform extent full face transplant date replace every hairline collar bone year old man include upper lower jaw bone teeth portion tongue,44
65.0,hunder seattle student protest follow resign below vice Princip allegedly org leave job administer found marri gay partner,33
22.0,sad news brooklyn today,6
41.0,video Robertson call sex sexual active shame perverse also imply homosex result people suppress truth god therefor caus god wrath,32
46.0,tea woman run since attempt murder alley arrest week nearly mile away michigan,22
25.0,OPer new jersey car dealership subject abc lookout investing superstore Sandi damage car sold use car lot charge today use fall vehicle till,35
19.0,astronaut step first Seri urgent repair spacewalk intern space station watch live,22
12.0,two us military plane take fire south sudan four injury,13
70.0,shopper get discount today tomorrow target store,12
89.0,Dustin Friedland attorney Hoboken shot head dec front wife couple load car holiday gift,29
83.0,attent Walmart shopper beyond aisle,7
1.0,although u seen moder job growth past six month dian sawyer ask one thing keep night Bernanke point percent unemploy work six month,46
8.0,nation top diet expert reveal common weight loss resolute almost alway backfit,14
15.0,tweet evoke race aid africa spark internet outrage overnight,11
35.0,driver pass busy intersect tampa Fla week may caught sight man wear Dunc cap hold sign read beat women,31
33.0,update common director internet giant own popular website like match com dictionary com video fire hate statement tweet came account,31
120.0,heavy heart share p afternoon clair dave pass away family side statement Littleton adventist hospita said,31
7.0,vizzini shi share lifelong struggle depress often wrote work,19
29.0,Justin Sacco hate statement evoke race aid spark outrage,10
227.0,thousand christmas carol gather sing outside home year old Delaney brown,14
88.0,cracker barrel southern restaur store chain pull duck dynasty product shell response phil Robertson anti gay statement,23
17.0,fox news anchor greta van mustered appear today week powerhouse roundtail savage preside Obama last schedule press confer year,26
7.0,trayvon son trayvon son teen mother told panel,15
14.0,nasa mission control reveal problem prompt early end latest spacewalk water one astronaut year old spacesuit,23
170.0,mani ice problem weekend creative oakvil toronto sunday latest weather news across us,24
24.0,new us for attack wound saturday mission evacue us citizen bor south sudan pre Obama write war power resolute letter congress state take action necessary protect us citizen country situate south sudan,51
26.0,seattle teenage glass may save life drive shoot,13
29.0,british airway boe damage smash build johannesburg south africa airport sunday passing tell abc news plane taxi flight london heard boom look window see,44
178.0,instead press charge Fla woman get justice alley attack way,16
611.0,mother four surprise children husband new fianc e heartbreak christmas letter two year death ovarian cancer,25
